date_time,concentration
2019-12-30 09:55:59,0.01
2019-12-30 09:57:59,0.01
2019-12-30 09:59:59,0.01
2019-12-30 10:01:59,0.011
2019-12-30 10:03:59,0.01
2019-12-30 10:05:59,0.01
2019-12-30 10:07:59,0.01
2019-12-30 10:09:59,0.01
2019-12-30 10:11:59,0.01
2019-12-30 10:13:59,0.01
2019-12-30 10:15:59,0.01
2019-12-30 10:17:59,0.009
2019-12-30 10:19:59,0.009
2019-12-30 10:21:59,0.008
2019-12-30 10:23:59,0.008
2019-12-30 10:25:59,0.008
2019-12-30 10:27:59,0.007
2019-12-30 10:29:59,0.008
2019-12-30 10:31:59,0.007
2019-12-30 10:33:59,0.007
2019-12-30 10:35:59,0.006
2019-12-30 10:37:59,0.006
2019-12-30 10:39:59,0.007
2019-12-30 10:41:59,0.006
2019-12-30 10:43:59,0.007
2019-12-30 10:45:59,0.006
2019-12-30 10:47:59,0.006
2019-12-30 10:49:59,0.006
2019-12-30 10:51:59,0.006
2019-12-30 10:53:59,0.006
2019-12-30 10:55:59,0.006
2019-12-30 10:57:59,0.006
2019-12-30 10:59:59,0.006
2019-12-30 11:01:59,0.007
2019-12-30 11:03:59,0.006
2019-12-30 11:05:59,0.006
2019-12-30 11:07:59,0.007
2019-12-30 11:09:59,0.007
2019-12-30 11:11:59,0.007
2019-12-30 11:13:59,0.006
2019-12-30 11:15:59,0.006
2019-12-30 11:17:59,0.006
2019-12-30 11:19:59,0.006
2019-12-30 11:21:59,0.006
2019-12-30 11:23:59,0.005
2019-12-30 11:25:59,0.005
2019-12-30 11:27:59,0.005
2019-12-30 11:29:59,0.005
2019-12-30 11:31:59,0.005
2019-12-30 11:33:59,0.006
2019-12-30 11:35:59,0.005
2019-12-30 11:37:59,0.005
2019-12-30 11:39:59,0.005
2019-12-30 11:41:59,0.005
2019-12-30 11:43:59,0.005
2019-12-30 11:45:59,0.005
2019-12-30 11:47:59,0.005
2019-12-30 11:49:59,0.005
2019-12-30 11:51:59,0.005
2019-12-30 11:53:59,0.005
2019-12-30 11:55:59,0.006
2019-12-30 11:57:59,0.005
2019-12-30 11:59:59,0.005
2019-12-30 12:01:59,0.005
2019-12-30 12:03:59,0.005
2019-12-30 12:05:59,0.005
2019-12-30 12:07:59,0.005
2019-12-30 12:09:59,0.005
2019-12-30 12:11:59,0.005
2019-12-30 12:13:59,0.005
2019-12-30 12:15:59,0.005
2019-12-30 12:17:59,0.005
2019-12-30 12:19:59,0.005
2019-12-30 12:21:59,0.006
2019-12-30 12:23:59,0.006
2019-12-30 12:25:59,0.006
2019-12-30 12:27:59,0.006
2019-12-30 12:29:59,0.007
2019-12-30 12:31:59,0.007
2019-12-30 12:33:59,0.008
2019-12-30 12:35:59,0.008
2019-12-30 12:37:59,0.008
2019-12-30 12:39:59,0.008
2019-12-30 12:41:59,0.008
2019-12-30 12:43:59,0.008
2019-12-30 12:45:59,0.008
2019-12-30 12:47:59,0.008
2019-12-30 12:49:59,0.008
2019-12-30 12:51:59,0.007
2019-12-30 12:53:59,0.008
2019-12-30 12:55:59,0.007
2019-12-30 12:57:59,0.006
2019-12-30 12:59:59,0.006
2019-12-30 13:01:59,0.006
2019-12-30 13:03:59,0.007
2019-12-30 13:05:59,0.007
2019-12-30 13:07:59,0.008
2019-12-30 13:09:59,0.008
2019-12-30 13:11:59,0.008
2019-12-30 13:13:59,0.008
2019-12-30 13:15:59,0.008
2019-12-30 13:17:59,0.008
2019-12-30 13:19:59,0.008
2019-12-30 13:21:59,0.008
2019-12-30 13:23:59,0.009
2019-12-30 13:25:59,0.008
2019-12-30 13:27:59,0.008
2019-12-30 13:29:59,0.008
2019-12-30 13:31:59,0.008
2019-12-30 13:33:59,0.007
2019-12-30 13:35:59,0.007
2019-12-30 13:37:59,0.007
2019-12-30 13:39:59,0.008
2019-12-30 13:41:59,0.008
2019-12-30 13:43:59,0.007
2019-12-30 13:45:59,0.008
2019-12-30 13:47:59,0.008
2019-12-30 13:49:59,0.007
2019-12-30 13:51:59,0.008
2019-12-30 13:53:59,0.007
2019-12-30 13:55:59,0.007
2019-12-30 13:57:59,0.007
2019-12-30 13:59:59,0.009
2019-12-30 14:01:59,0.007
2019-12-30 14:03:59,0.007
2019-12-30 14:05:59,0.006
2019-12-30 14:07:59,0.007
2019-12-30 14:09:59,0.007
2019-12-30 14:11:59,0.008
2019-12-30 14:13:59,0.007
2019-12-30 14:15:59,0.007
2019-12-30 14:17:59,0.007
2019-12-30 14:19:59,0.007
2019-12-30 14:21:59,0.007
2019-12-30 14:23:59,0.008
2019-12-30 14:25:59,0.009
2019-12-30 14:27:59,0.008
2019-12-30 14:29:59,0.009
2019-12-30 14:31:59,0.009
2019-12-30 14:33:59,0.009
2019-12-30 14:35:59,0.01
2019-12-30 14:37:59,0.011
2019-12-30 14:39:59,0.009
2019-12-30 14:41:59,0.008
2019-12-30 14:43:59,0.01
2019-12-30 14:45:59,0.01
2019-12-30 14:47:59,0.009
2019-12-30 14:49:59,0.012
2019-12-30 14:51:59,0.011
2019-12-30 14:53:59,0.011
2019-12-30 14:55:59,0.009
2019-12-30 14:57:59,0.009
2019-12-30 14:59:59,0.009
2019-12-30 15:01:59,0.008
2019-12-30 15:03:59,0.009
2019-12-30 15:05:59,0.009
2019-12-30 15:07:59,0.009
2019-12-30 15:09:59,0.009
2019-12-30 15:11:59,0.009
2019-12-30 15:13:59,0.008
2019-12-30 15:15:59,0.009
2019-12-30 15:17:59,0.008
2019-12-30 15:19:59,0.01
2019-12-30 15:21:59,0.009
2019-12-30 15:23:59,0.009
2019-12-30 15:25:59,0.01
2019-12-30 15:27:59,0.011
2019-12-30 15:29:59,0.013
2019-12-30 15:31:59,0.011
2019-12-30 15:33:59,0.011
2019-12-30 15:35:59,0.011
2019-12-30 15:37:59,0.011
2019-12-30 15:39:59,0.011
2019-12-30 15:41:59,0.012
2019-12-30 15:43:59,0.012
2019-12-30 15:45:59,0.011
2019-12-30 15:47:59,0.011
2019-12-30 15:49:59,0.011
2019-12-30 15:51:59,0.011
2019-12-30 15:53:59,0.011
2019-12-30 15:55:59,0.012
2019-12-30 15:57:59,0.012
2019-12-30 15:59:59,0.013
2019-12-30 16:01:59,0.014
2019-12-30 16:03:59,0.011
2019-12-30 16:05:59,0.011
2019-12-30 16:07:59,0.011
2019-12-30 16:09:59,0.011
2019-12-30 16:11:59,0.011
2019-12-30 16:13:59,0.01
2019-12-30 16:15:59,0.011
2019-12-30 16:17:59,0.011
2019-12-30 16:19:59,0.011
2019-12-30 16:21:59,0.011
2019-12-30 16:23:59,0.011
2019-12-30 16:25:59,0.012
2019-12-30 16:27:59,0.012
2019-12-30 16:29:59,0.013
2019-12-30 16:31:59,0.013
2019-12-30 16:33:59,0.011
2019-12-30 16:35:59,0.011
2019-12-30 16:37:59,0.012
2019-12-30 16:39:59,0.012
2019-12-30 16:41:59,0.014
2019-12-30 16:43:59,0.013
2019-12-30 16:45:59,0.011
2019-12-30 16:47:59,0.011
2019-12-30 16:49:59,0.011
2019-12-30 16:51:59,0.011
2019-12-30 16:53:59,0.012
2019-12-30 16:55:59,0.012
2019-12-30 16:57:59,0.012
2019-12-30 16:59:59,0.013
2019-12-30 17:01:59,0.013
